title,author_name,first_publish_year,publisher,language
The Lord of the Rings,['J.R.R. Tolkien'],1954.0,"['Houghton Mifflin Harcourt', 'Klett-Cotta Verlag', 'Ballantine', 'Easton Press', 'Editorial Vicens Vives', 'Booket', 'Turtleback Books Distributed by Demco Media', 'Highbridge Audio', 'WSOY', 'RUSCONI', 'der Hörverlag', 'SP Interprint', 'Methuen', '""Terra""', 'Harpercollins Pub Ltd', 'Soundelux Audio Publishing', 'Ballantine Books', 'MINOTAURO', 'Listening Library', 'Circulo de Lectores', 'Hobbit press Klett Cotta', 'HighBridge Audio', 'Brand: Recorded Books', 'Recorded Books, Inc.', 'George Allen & Unwin Ltd.', 'HarperCollins Canada, Limited', 'Book Club Associates', 'Het Spectrum', 'Slovart', 'MUZA', 'Guild', 'Hyoronsha', 'Gallimard', 'Kont͡sern ""Olimp""', 'Allenand Unwin', 'European Schoolbooks', 'Bompiani', 'Harpercollins', 'Recorded Books', ""J.G. Cotta'sche, Buchhandlung Nachfolger GmbH"", 'Norstedt', 'Fabbri', 'Pocket', 'HMH Books for Young Readers', 'HarperCollins', 'Harper Collins Publishers  Stock Account', 'BBC Audiobooks', 'Houghton Mifflin Harcourt Trade & Reference Publishers', 'Houghton Mifflin Company', 'Rusconi', 'Highbridge Company', 'harpercollins', 'Allen & Unwin', 'Azbuka Klassika', 'Unieboek | Het Spectrum', 'Recorded Books Unabridged', 'Random House Audio', 'Soundelux Audio Pub', 'Hör Verlag, München', 'n/a', 'Christian Bourgois', 'Houghton Mifflin Co.', 'Planeta Publishing', 'HarperCollins Publishers Ltd', 'Caedmon', 'AST', 'William Morrow Paperbacks', 'Spectrum', 'French & European Pubns', 'Minotauro Ediciones Avd', 'Brand: HighBridge Company', 'Guild Publishing', 'Book Club Association', 'Minotauro', 'French and European Publications Inc', 'Presse Pocket', 'Hyōronsha', 'Bard', 'POCKET', '""Azbuka""', 'Unwin Hyman', 'Houghton Mifflin Harcourt Publishing Company', 'BBC Books', 'Allen and Unwin', 'Zondervan', '""Kniga""', 'France Loisirs', 'HarperCollins Publishers', 'Unwin Paperbacks', 'Brand: Soundelux Audio Pub', 'Klett-Cotta', 'Harper Collins', 'BTFDREEM', 'Mariner Books', 'Houghton Mifflin', 'Azbuka, Terra-Knizhnyy klub', 'HARPERCOLLINS PUBLISHERS', 'Folio Society', 'Siat Publishing Company', 'Sushi Books', 'HarperCollins Publishers Limited', 'George Allen & Unwin', 'Metis Yayıncılık', 'Editions France Loisirs', 'Brand: Mariner Books', 'BBD Audio Publishing', 'Der Hörverlag', 'William Morrow', 'GALLIMARD JEUNE', 'Warszawskie Wydawnictwo Literackie Muza', 'Grafton', 'Mladá fronta', 'George Allen and Unwin']","['cat', 'rus', 'jpn', 'spa', 'fre', 'swe', 'ger', 'kor', 'pol', 'cze', 'slo', 'glg', 'bul', 'tur', 'ita', 'eng', 'por', 'dut']"
Novels (Hobbit / Lord of the Rings),['J.R.R. Tolkien'],1979.0,"['Highbridge Audio', 'Mariner Books', 'HarperCollins Publishers Limited', 'HarperCollins Publishers Ltd', 'Unwin Paperbacks', 'Harper Collins', 'Del Rey Fantasy', 'HarperCollins', 'Houghton Mifflin', 'Harpercollins', 'Del Rey', 'Harper Collins Publ. UK', 'HarperCollins Publishers', 'Ballantine Books (Mm)', 'Azbuka-klassika', 'Harpercollins Pub Ltd', 'Houghton Mifflin Harcourt', 'Collins', 'Del Rey Books']","['eng', 'rus']"
The Lord of the Ring,"['Phil Anderson', 'Philip A. Anderson']",2006.0,"['Regal Books', 'Muddy Pearl', 'Kingsway Publications']",['eng']
Lord of the Rings,['Cedco Publishing'],2001.0,['Cedco Publishing Company'],['eng']
The lord of the rings,['Jude Fisher'],2001.0,"['HarperCollins', 'Houghton Mifflin']",['eng']
Lord of the rings,['Jim Pendrill'],,,['eng']
The Lord of the Rings. Appendices,['J.R.R. Tolkien'],1999.0,"['HarperCollins Publishers Limited', 'Circulo de Lectores', 'Minotauro', 'Ediciones Minotauro', 'Klett-Cotta', 'Houghton Mifflin Co', 'HarperCollins']","['eng', 'spa', 'ger']"
Lord of the Rings the Fellowship of the Ring,['Tania Cox'],2020.0,['Independently Published'],['eng']
The Lord of the Rings The Fellowship of the Ring Photo Guide,['Alison Sage'],2001.0,"['Mariner Books', ""HarperCollinsChildren'sBooks"", 'Collins', 'Houghton Mifflin']",['eng']
Lord of the Rings the Fellowship of the Ring,['Raffaello De Siati'],2020.0,['Independently Published'],['ita']
